epoch;accuracy;loss;mse;val_accuracy;val_loss;val_mse
0;0.9519786238670349;0.20055823028087616;0.0460272915661335;0.8087913990020752;0.40304386615753174;0.12298285216093063
1;0.9545454382896423;0.19031065702438354;0.043873563408851624;0.9545454382896423;0.3406451940536499;0.045001838356256485
2;0.9545454382896423;0.18789957463741302;0.04364674165844917;0.9545454382896423;0.3151426911354065;0.044804222881793976
3;0.9545454382896423;0.18723845481872559;0.04359786584973335;0.9545454382896423;0.35697105526924133;0.04495999962091446
4;0.9545454382896423;0.18685705959796906;0.043546147644519806;0.9545454382896423;0.23614062368869781;0.044489070773124695
5;0.9545454382896423;0.18700957298278809;0.04356379434466362;0.9545454382896423;0.2308655083179474;0.04438070207834244
6;0.9545454382896423;0.1866685152053833;0.04353302717208862;0.9545454382896423;0.21526595950126648;0.04422235116362572
7;0.9545454382896423;0.18640723824501038;0.04350782558321953;0.9545454382896423;0.2118152678012848;0.0443083718419075
8;0.9545454382896423;0.1864783763885498;0.04351058602333069;0.9545454382896423;0.22125625610351562;0.04439186677336693
9;0.9545454382896423;0.18691450357437134;0.04354773461818695;0.9545454382896423;0.2057822048664093;0.044947490096092224
10;0.9545454382896423;0.18636992573738098;0.04350247234106064;0.9545454382896423;0.20966017246246338;0.0455588698387146
11;0.9545454382896423;0.18668073415756226;0.04351992905139923;0.9545454382896423;0.2106608897447586;0.045466311275959015
12;0.9545454382896423;0.18659202754497528;0.043514080345630646;0.9545454382896423;0.21599994599819183;0.045580703765153885
13;0.9545454382896423;0.18623481690883636;0.043477170169353485;0.9545454382896423;0.21560275554656982;0.046710316091775894
14;0.9545454382896423;0.18632102012634277;0.04348223656415939;0.9545454382896423;0.2051498293876648;0.04512970522046089
15;0.9545454382896423;0.1863413155078888;0.04348801076412201;0.9545454382896423;0.21415241062641144;0.046964406967163086
16;0.9545454382896423;0.18615730106830597;0.043465159833431244;0.9545454382896423;0.22747096419334412;0.04542558267712593
17;0.9545454382896423;0.18627279996871948;0.04348566755652428;0.9545454382896423;0.2215794026851654;0.04731927812099457
18;0.9545454382896423;0.18647699058055878;0.04349331185221672;0.9545454382896423;0.22165828943252563;0.04515134170651436
19;0.9545454382896423;0.1865018755197525;0.04348546266555786;0.9545454382896423;0.21465973556041718;0.044705457985401154
20;0.9545454382896423;0.18616776168346405;0.04345055669546127;0.9545454382896423;0.24202755093574524;0.045740269124507904
21;0.9545454382896423;0.18643206357955933;0.043478354811668396;0.9545454382896423;0.21987777948379517;0.04522544518113136
22;0.9545454382896423;0.186031773686409;0.043459970504045486;0.9545454382896423;0.21625620126724243;0.04409022629261017
23;0.9545454382896423;0.18609869480133057;0.043462127447128296;0.9545454382896423;0.2252531498670578;0.04468700662255287
24;0.9545454382896423;0.18600620329380035;0.04345518723130226;0.9545454382896423;0.22398041188716888;0.04466521739959717
25;0.9545454382896423;0.18612171709537506;0.04345972463488579;0.9545454382896423;0.2298547327518463;0.044961828738451004
26;0.9545454382896423;0.18587419390678406;0.04343995079398155;0.9545454382896423;0.20731806755065918;0.04412063956260681
27;0.9545454382896423;0.18613429367542267;0.043453946709632874;0.9545454382896423;0.2239856719970703;0.04611673578619957
28;0.9545454382896423;0.1852729171514511;0.04340224713087082;0.9545454382896423;0.22146108746528625;0.045198705047369
29;0.9545454382896423;0.18587663769721985;0.04345102608203888;0.9545454382896423;0.23199565708637238;0.04520333558320999
30;0.9545454382896423;0.18585146963596344;0.043438348919153214;0.9545454382896423;0.20828568935394287;0.04500073194503784
31;0.9545454382896423;0.18556618690490723;0.04341007024049759;0.9545454382896423;0.2195425182580948;0.04582285135984421
32;0.9545454382896423;0.18564650416374207;0.043415796011686325;0.9545454382896423;0.2182442545890808;0.04531791806221008
33;0.9545454382896423;0.18542157113552094;0.04340432211756706;0.9545454382896423;0.2163381576538086;0.04469631239771843
34;0.9545454382896423;0.18529872596263885;0.04339871183037758;0.9545454382896423;0.21937328577041626;0.0448748916387558
35;0.9545454382896423;0.1855173408985138;0.04341261461377144;0.9545454382896423;0.22662441432476044;0.044537030160427094
36;0.9545454382896423;0.1854718178510666;0.043417930603027344;0.9545454382896423;0.20721779763698578;0.044468119740486145
37;0.9545454382896423;0.1852102130651474;0.04338730126619339;0.9545454382896423;0.2093266397714615;0.04433811455965042
38;0.9545454382896423;0.18488603830337524;0.04336007684469223;0.9545454382896423;0.22091995179653168;0.04585236310958862
39;0.9545454382896423;0.1852482259273529;0.04339265823364258;0.9545454382896423;0.218754380941391;0.046120353043079376
40;0.9545454382896423;0.18521729111671448;0.04339681938290596;0.9545454382896423;0.23094293475151062;0.04527910798788071
41;0.9545454382896423;0.18506303429603577;0.04338013008236885;0.9545454382896423;0.2271255999803543;0.044956326484680176
42;0.9545454382896423;0.18510961532592773;0.04337906464934349;0.9545454382896423;0.217842236161232;0.044712893664836884
43;0.9545454382896423;0.18506722152233124;0.043368857353925705;0.9545454382896423;0.2319316416978836;0.04532992094755173
44;0.9545454382896423;0.18502633273601532;0.043378014117479324;0.9545454382896423;0.21971604228019714;0.04532594233751297
45;0.9545454382896423;0.185204416513443;0.0433909147977829;0.9545454382896423;0.25228533148765564;0.04518643021583557
46;0.9545454382896423;0.18505439162254333;0.04337364062666893;0.9545454382896423;0.26985350251197815;0.04526986926794052
47;0.9545454382896423;0.18535949289798737;0.043394993990659714;0.9545454382896423;0.22204124927520752;0.04522627964615822
48;0.9545454382896423;0.18511739373207092;0.04338182508945465;0.9545454382896423;0.22159980237483978;0.045464932918548584
49;0.9545454382896423;0.18517568707466125;0.0433773435652256;0.9545454382896423;0.21313932538032532;0.04529140144586563
